Variant,cat,t,f_mean,f_sem,f_n
WT,expressing,31,0.8190825737409588,0.06250549761176792,3
WT,nonexpressing,31,0.9148110661268556,0.025219721379919256,3
WT,expressing,32,0.8072293476020184,0.056416043385676753,3
WT,nonexpressing,32,0.9106443994601889,0.028622978527523973,3
WT,expressing,33,0.8021788425515134,0.05477149292277771,3
WT,nonexpressing,33,0.9020917678812416,0.03240770639045253,3
WT,expressing,34,0.7826355838778198,0.06744469638381322,3
WT,nonexpressing,34,0.8979251012145749,0.03584228755868401,3
WT,expressing,35,0.7622274206125138,0.055029360100396316,3
WT,nonexpressing,35,0.8935391363022942,0.036302752763886274,3
WT,expressing,36,0.7521264105115036,0.050646470193650414,3
WT,nonexpressing,36,0.8935391363022942,0.036302752763886274,3
WT,expressing,37,0.7470759054609987,0.04909180157501317,3
WT,nonexpressing,37,0.8848796671165092,0.033143740094371425,3
WT,expressing,38,0.7420254004104936,0.048020414650593826,3
WT,nonexpressing,38,0.8722728295096717,0.03567379493575271,3
WT,expressing,39,0.7268738852589784,0.0479574515836756,3
WT,nonexpressing,39,0.8722728295096717,0.03567379493575271,3
WT,expressing,40,0.7268738852589784,0.0479574515836756,3
WT,nonexpressing,40,0.8679993252361674,0.031921504610460616,3
WT,expressing,41,0.7218233802084734,0.048989113217698735,3
WT,nonexpressing,41,0.8638326585695008,0.035603240810223986,3
WT,expressing,42,0.7218233802084734,0.048989113217698735,3
WT,nonexpressing,42,0.8508940620782726,0.03938361654968815,3
WT,expressing,43,0.7167728751579684,0.05050707344365515,3
WT,nonexpressing,43,0.8508940620782726,0.03938361654968815,3
WT,expressing,44,0.7117223701074633,0.0524691425921884,3
WT,nonexpressing,44,0.8466205578047683,0.035508566943162186,3
WT,expressing,45,0.7066718650569582,0.05482766257471112,3
WT,nonexpressing,45,0.8380679262258209,0.03931056923129444,3
WT,expressing,46,0.7066718650569582,0.05482766257471112,3
WT,nonexpressing,46,0.8380679262258209,0.03931056923129444,3
WT,expressing,47,0.7016213600064531,0.057533898225165574,3
WT,nonexpressing,47,0.8380679262258209,0.03931056923129444,3
WT,expressing,48,0.7016213600064531,0.057533898225165574,3
WT,nonexpressing,48,0.8295152946468736,0.04320219058407983,3
WT,expressing,49,0.7016213600064531,0.057533898225165574,3
WT,nonexpressing,49,0.8295152946468736,0.04320219058407983,3
WT,expressing,50,0.7016213600064531,0.057533898225165574,3
WT,nonexpressing,50,0.8251293297345929,0.04411198168989238,3
WT,expressing,51,0.7016213600064531,0.057533898225165574,3
WT,nonexpressing,51,0.8123031938821412,0.04406520111178771,3
WT,expressing,52,0.6948186389180178,0.05075548419784955,3
WT,nonexpressing,52,0.8123031938821412,0.04406520111178771,3
WT,expressing,53,0.6880159178295824,0.04398457611193597,3
WT,nonexpressing,53,0.8036437246963563,0.04119238390947976,3
WT,expressing,54,0.681213196741147,0.03722526996207426,3
WT,nonexpressing,54,0.7948717948717948,0.044871794871794865,3
WT,expressing,55,0.681213196741147,0.03722526996207426,3
WT,nonexpressing,55,0.7821524966261808,0.0513453711824218,3
WT,expressing,56,0.681213196741147,0.03722526996207426,3
WT,nonexpressing,56,0.7692139001349527,0.05770355512605277,3
WT,expressing,57,0.6616699380674536,0.04685557194668549,3
WT,nonexpressing,57,0.7478351327035537,0.06198714341423419,3
WT,expressing,58,0.6515689279664435,0.052020571356265005,3
WT,nonexpressing,58,0.7436684660368871,0.06411835498539209,3
WT,expressing,59,0.6379634857895727,0.03850498825853499,3
WT,nonexpressing,59,0.7221828609986505,0.06199974726413722,3
WT,expressing,60,0.6379634857895727,0.03850498825853499,3
WT,nonexpressing,60,0.7136302294197031,0.06627922487974584,3
WT,expressing,61,0.6311607647011374,0.031775970507442804,3
WT,nonexpressing,61,0.7093567251461989,0.06200692096034102,3
WT,expressing,62,0.6311607647011374,0.031775970507442804,3
WT,nonexpressing,62,0.7010233918128655,0.06639986496706712,3
WT,expressing,63,0.624358043612702,0.025086739744413198,3
WT,nonexpressing,63,0.6842498875393612,0.07010635777265567,3
WT,expressing,64,0.619307538562197,0.028701676202493653,3
WT,nonexpressing,64,0.6671502474134053,0.06591633481215385,3
WT,expressing,65,0.619307538562197,0.028701676202493653,3
WT,nonexpressing,65,0.658597615834458,0.0700232816904042,3
WT,expressing,66,0.619307538562197,0.028701676202493653,3
WT,nonexpressing,66,0.6501574448942871,0.06884123841806902,3
