Variant,cat,t,f_mean,f_sem,f_n
allW D262V,expressing,57,0.521022356638795,0.04790729735684875,3
D262V,expressing,57,0.7525014376078206,0.07790016938738253,3
WT,expressing,57,0.6616699380674536,0.04685557194668549,3
allW D262V,expressing,58,0.521022356638795,0.04790729735684875,3
D262V,expressing,58,0.7469458820522651,0.07392597186080552,3
WT,expressing,58,0.6515689279664435,0.052020571356265005,3
allW D262V,expressing,59,0.5164561465931329,0.044781375188292664,3
D262V,expressing,59,0.7358347709411539,0.06665928555507653,3
WT,expressing,59,0.6379634857895727,0.03850498825853499,3
allW D262V,expressing,60,0.5058293304868647,0.03988287363633313,3
D262V,expressing,60,0.7302792153855984,0.06344492462664086,3
WT,expressing,60,0.6379634857895727,0.03850498825853499,3
allW D262V,expressing,61,0.48308130225938445,0.034846946776752756,3
D262V,expressing,61,0.7231870168040381,0.06059391716294144,3
WT,expressing,61,0.6311607647011374,0.031775970507442804,3
allW D262V,expressing,62,0.47627858117094907,0.04039061996471321,3
D262V,expressing,62,0.7171810107980321,0.06652754018595682,3
WT,expressing,62,0.6311607647011374,0.031775970507442804,3
allW D262V,expressing,63,0.47627858117094907,0.04039061996471321,3
D262V,expressing,63,0.7171810107980321,0.06652754018595682,3
WT,expressing,63,0.624358043612702,0.025086739744413198,3
allW D262V,expressing,64,0.45204632288781016,0.04819597637364606,3
D262V,expressing,64,0.7111750047920261,0.07247308897464733,3
WT,expressing,64,0.619307538562197,0.028701676202493653,3
allW D262V,expressing,65,0.45204632288781016,0.04819597637364606,3
D262V,expressing,65,0.7081720017890231,0.07544945472169963,3
WT,expressing,65,0.619307538562197,0.028701676202493653,3
allW D262V,expressing,66,0.44067739175371273,0.05059406528031888,3
D262V,expressing,66,0.6909846016228994,0.07409370754219946,3
WT,expressing,66,0.619307538562197,0.028701676202493653,3
allW D262V,expressing,67,0.43154497166238853,0.043746418039257676,3
D262V,expressing,67,0.6838924030413392,0.0728714632494096,3
WT,expressing,67,0.6074543124232565,0.02669672280433508,3
allW D262V,expressing,68,0.4209181555561204,0.03902505372493557,3
D262V,expressing,68,0.6838924030413392,0.0728714632494096,3
WT,expressing,68,0.6006515913348212,0.021183505852551465,3
allW D262V,expressing,69,0.40423073338924614,0.034364005110769355,3
D262V,expressing,69,0.6808894000383362,0.07564853055819347,3
WT,expressing,69,0.5956010862843161,0.026009588167943368,3
allW D262V,expressing,70,0.39966452334358404,0.030344844546127837,3
D262V,expressing,70,0.6622356398952144,0.0758627494561638,3
WT,expressing,70,0.5905505812338111,0.030907468929974046,3
allW D262V,expressing,71,0.39509831329792194,0.026503488113200396,3
D262V,expressing,71,0.6592326368922113,0.07863671975046918,3
WT,expressing,71,0.5760578276106226,0.03003896637085866,3
allW D262V,expressing,72,0.3738446810853856,0.019172910797315475,3
D262V,expressing,72,0.6592326368922113,0.07863671975046918,3
WT,expressing,72,0.5760578276106226,0.03003896637085866,3
allW D262V,expressing,73,0.3738446810853856,0.019172910797315475,3
D262V,expressing,73,0.6450482397290908,0.07796336615533281,3
WT,expressing,73,0.5659568175096126,0.038295424993906854,3
allW D262V,expressing,74,0.3670419599969502,0.024431759942922612,3
D262V,expressing,74,0.6309341256149766,0.07096402410499314,3
WT,expressing,74,0.5514640638864241,0.041076706353623545,3
allW D262V,expressing,75,0.35567302886285274,0.026608813149346013,3
D262V,expressing,75,0.6309341256149766,0.07096402410499314,3
WT,expressing,75,0.5464135588359191,0.04441534555426642,3
allW D262V,expressing,76,0.34430409772875525,0.02985425012552844,3
D262V,expressing,76,0.6223755670564182,0.06911789235553088,3
WT,expressing,76,0.5319208052127307,0.0504020162285003,3
allW D262V,expressing,77,0.3382434916681492,0.02847528662638131,3
D262V,expressing,77,0.6163695610504122,0.07466858525278425,3
WT,expressing,77,0.5167692900612155,0.05901820589022041,3
allW D262V,expressing,78,0.3382434916681492,0.02847528662638131,3
D262V,expressing,78,0.6133665580474091,0.07746940683102732,3
WT,expressing,78,0.49811334283383973,0.04938810162068578,3
allW D262V,expressing,79,0.3382434916681492,0.02847528662638131,3
D262V,expressing,79,0.6002683534598429,0.08208974089826085,3
WT,expressing,79,0.49811334283383973,0.04938810162068578,3
allW D262V,expressing,80,0.329111071576825,0.021917541874560825,3
D262V,expressing,80,0.5901731518752795,0.0843079683648052,3
WT,expressing,80,0.49306283778333465,0.053270795285895185,3
allW D262V,expressing,81,0.31624774442778353,0.026801545901637514,3
D262V,expressing,81,0.5830809532937193,0.08437190539878842,3
WT,expressing,81,0.48626011669489927,0.04703321563638302,3
allW D262V,expressing,82,0.3116815343821215,0.023598842732146567,3
D262V,expressing,82,0.5830809532937193,0.08437190539878842,3
WT,expressing,82,0.48120961164439424,0.051257920823138216,3
allW D262V,expressing,83,0.30711532433645933,0.020909051681934337,3
D262V,expressing,83,0.5745223947351608,0.08205136031745039,3
WT,expressing,83,0.45661584792019577,0.06096971421962198,3
allW D262V,expressing,84,0.3025491142907973,0.01895183512331265,3
