Day,Variant,Frame,i_GFP,t_dissolution
20231004,D262V,12,167,156
20231004,D262V,15,770,104
20231004,D262V,15,322,98
20231004,D262V,15,162,153
20231004,D262V,15,139,106
20231004,D262V,15,136,181
20231004,D262V,16,449,181
20231004,D262V,16,113,121
20231004,D262V,16,187,181
20231004,D262V,16,119,162
20231004,D262V,17,111,181
20231004,D262V,18,128,117
20231004,D262V,18,113,181
20231004,D262V,18,118,181
20231004,D262V,19,1839,122
20231004,D262V,19,1614,145
20231004,D262V,19,354,181
20231004,D262V,20,1674,181
20231004,D262V,20,2070,181
20231004,D262V,20,245,97
20231004,D262V,20,142,121
20231004,D262V,20,110,181
20231004,D262V,20,123,90
20231004,allW D262V,1,274,78
20231004,allW D262V,1,262,181
20231004,allW D262V,1,113,122
20231004,allW D262V,1,110,104
20231004,allW D262V,2,531,151
20231004,allW D262V,2,364,181
20231004,allW D262V,3,764,90
20231004,allW D262V,3,930,121
20231004,allW D262V,3,977,181
20231004,allW D262V,3,286,88
20231004,allW D262V,3,221,97
20231004,allW D262V,3,439,181
20231004,allW D262V,3,765,181
20231004,allW D262V,3,583,181
20231004,allW D262V,4,672,77
20231004,allW D262V,4,694,90
20231004,allW D262V,5,530,137
20231004,allW D262V,6,230,106
20231004,allW D262V,6,298,79
20231004,allW D262V,6,1092,181
20231004,allW D262V,6,137,142
20231004,allW D262V,6,139,119
20231004,allW D262V,6,135,164
20231004,allW D262V,7,835,132
20231004,allW D262V,8,153,150
20231004,allW D262V,8,153,123
20231004,allW D262V,8,125,95
20231004,allW D262V,9,326,129
20231004,allW D262V,9,329,85
20231004,allW D262V,10,144,181
20231004,allW D262V,10,619,103
20231004,allW D262V,11,278,76
20231004,allW D262V,11,542,181
20231004,allW D262V,12,134,106
20231004,allW D262V,12,136,156
20231004,allW D262V,12,124,134
20231004,allW D262V,12,123,128
20231004,allW D262V,13,198,154
20231004,allW D262V,13,199,142
20231004,allW D262V,13,152,91
20231004,allW D262V,13,162,100
20231004,allW D262V,13,150,134
20231004,allW D262V,14,317,103
20231004,allW D262V,14,829,174
20231004,allW D262V,14,773,150
20231004,allW D262V,14,244,165
20231004,allW D262V,15,185,133
20231004,allW D262V,15,210,130
20231004,allW D262V,16,220,109
20231004,allW D262V,16,159,181
20231004,allW D262V,16,113,82
20231004,allW D262V,16,109,78
20231004,allW D262V,16,114,145
20231004,allW D262V,16,114,97
20231004,allW D262V,16,145,91
20231004,allW D262V,17,115,129
20231004,allW D262V,17,118,131
20231004,allW D262V,17,259,118
20231004,allW D262V,17,137,111
20231004,allW D262V,17,127,126
20231004,allW D262V,17,115,138
20231004,allW D262V,18,1195,181
20231004,allW D262V,18,298,167
20231004,allW D262V,18,138,115
20231004,allW D262V,18,208,181
20231004,allW D262V,18,151,105
20231004,allW D262V,18,214,144
20231004,allW D262V,19,570,105
20231004,allW D262V,19,163,104
20231004,allW D262V,19,174,104
20231004,allW D262V,20,246,164
20231004,allW D262V,20,555,146
20231004,allW D262V,20,221,181
20231005,WT,1,130,129
20231005,WT,1,108,114
20231005,WT,3,182,163
20231005,WT,3,121,85
20231005,WT,5,177,121
20231005,WT,6,847,118
20231005,WT,6,715,109
20231005,WT,7,410,87
20231005,WT,7,127,141
20231005,WT,7,127,181
20231005,WT,8,174,76
20231005,WT,8,143,78
20231005,WT,8,107,95
20231005,WT,8,103,160
20231005,WT,9,116,134
20231005,WT,9,117,131
20231005,WT,10,591,130
20231005,WT,10,139,129
20231005,WT,10,152,104
20231005,WT,11,703,108
20231005,WT,11,129,119
20231005,WT,11,139,89
20231005,WT,11,109,145
20231005,WT,12,479,113
20231005,WT,12,170,81
20231005,WT,13,127,114
20231005,WT,13,231,91
20231005,WT,13,106,136
20231005,WT,13,105,133
20231005,WT,13,111,103
20231005,WT,13,111,131
20231005,WT,14,273,133
20231005,WT,14,328,102
20231005,WT,15,168,129
20231005,WT,15,321,146
20231005,WT,16,122,94
20231005,WT,16,256,91
20231005,WT,16,125,81
20231005,WT,16,107,72
20231005,WT,16,106,75
20231005,WT,16,172,84
20231005,WT,16,187,79
20231005,WT,18,1340,102
20231005,WT,18,337,84
20231005,WT,20,163,139
20231005,WT,20,148,81
20231005,WT,20,116,119
20231005,WT,20,107,118
20231005,WT,20,106,181
20231005,WT,20,106,135
20231005,WT,20,110,137
20231005,D262V,2,428,181
20231005,D262V,2,198,181
20231005,D262V,3,388,181
20231005,D262V,3,208,181
20231005,D262V,3,118,181
20231005,D262V,3,112,181
20231005,D262V,4,124,181
20231005,D262V,4,110,181
20231005,D262V,5,692,181
20231005,D262V,5,144,161
20231005,D262V,6,295,181
20231005,D262V,6,263,181
20231005,D262V,6,436,181
20231005,D262V,7,461,181
20231005,D262V,7,1160,181
20231005,D262V,7,1546,181
20231005,D262V,7,288,181
20231005,D262V,8,358,181
20231005,D262V,8,593,181
20231005,D262V,8,132,181
20231005,D262V,8,447,181
20231005,D262V,9,260,181
20231005,D262V,9,635,181
20231005,D262V,9,324,181
20231005,D262V,9,273,181
20231005,D262V,10,951,181
20231005,D262V,11,266,181
20231005,D262V,11,184,181
20231005,D262V,11,131,181
20231005,D262V,12,187,181
20231005,D262V,12,136,181
20231005,D262V,12,105,181
20231005,D262V,12,115,181
20231005,D262V,12,114,181
20231005,D262V,13,255,181
20231005,D262V,13,181,181
20231005,D262V,14,106,181
20231005,D262V,14,126,181
20231005,D262V,14,126,181
20231005,D262V,14,115,181
20231005,D262V,15,372,181
20231005,D262V,15,362,181
20231005,D262V,15,985,181
20231005,D262V,15,1444,181
20231005,D262V,15,273,181
20231005,D262V,15,565,181
20231005,D262V,15,313,181
20231005,D262V,16,106,181
20231005,D262V,16,113,181
20231005,D262V,16,109,181
20231005,D262V,16,126,181
20231005,D262V,18,107,181
20231005,D262V,18,113,181
20231005,D262V,18,129,181
20231005,D262V,18,346,172
20231005,D262V,18,248,181
20231005,D262V,19,112,181
20231005,D262V,20,119,181
20231005,D262V,20,127,181
20231005,allW D262V,1,788,147
20231005,allW D262V,2,287,88
20231005,allW D262V,2,837,130
20231005,allW D262V,2,320,181
20231005,allW D262V,2,306,181
20231005,allW D262V,2,411,181
20231005,allW D262V,3,807,178
20231005,allW D262V,3,616,123
20231005,allW D262V,3,316,181
20231005,allW D262V,3,479,181
20231005,allW D262V,3,302,181
20231005,allW D262V,4,1259,134
20231005,allW D262V,5,648,122
20231005,allW D262V,5,825,139
20231005,allW D262V,5,545,116
20231005,allW D262V,5,283,93
