Variant,cat,t,f_mean,f_sem,f_n
D262V,nonexpressing,58,0.7291666666666666,0.05833333333333331,3
WT,nonexpressing,58,0.7436684660368871,0.06411835498539209,3
allW D262V,nonexpressing,59,0.568640350877193,0.05310414673189952,3
D262V,nonexpressing,59,0.7166666666666667,0.05877806658194119,3
WT,nonexpressing,59,0.7221828609986505,0.06199974726413722,3
allW D262V,nonexpressing,60,0.568640350877193,0.05310414673189952,3
D262V,nonexpressing,60,0.7083333333333334,0.060524329359724786,3
WT,nonexpressing,60,0.7136302294197031,0.06627922487974584,3
allW D262V,nonexpressing,61,0.5603070175438597,0.04919177880375441,3
D262V,nonexpressing,61,0.6958333333333333,0.0605243293597248,3
WT,nonexpressing,61,0.7093567251461989,0.06200692096034102,3
allW D262V,nonexpressing,62,0.5603070175438597,0.04919177880375441,3
D262V,nonexpressing,62,0.6916666666666667,0.0587780665819412,3
WT,nonexpressing,62,0.7010233918128655,0.06639986496706712,3
allW D262V,nonexpressing,63,0.5475877192982456,0.04906256095698371,3
D262V,nonexpressing,63,0.6875,0.057282196186948006,3
WT,nonexpressing,63,0.6842498875393612,0.07010635777265567,3
allW D262V,nonexpressing,64,0.5392543859649123,0.051621800881548406,3
D262V,nonexpressing,64,0.6791666666666667,0.05877806658194119,3
WT,nonexpressing,64,0.6671502474134053,0.06591633481215385,3
allW D262V,nonexpressing,65,0.5350877192982456,0.055732827360115825,3
D262V,nonexpressing,65,0.6666666666666666,0.05511981898051231,3
WT,nonexpressing,65,0.658597615834458,0.0700232816904042,3
allW D262V,nonexpressing,66,0.530921052631579,0.05438021687225,3
D262V,nonexpressing,66,0.6583333333333333,0.05833333333333332,3
WT,nonexpressing,66,0.6501574448942871,0.06884123841806902,3
allW D262V,nonexpressing,67,0.5267543859649123,0.05844575961934538,3
D262V,nonexpressing,67,0.6416666666666666,0.05511981898051231,3
WT,nonexpressing,67,0.641497975708502,0.06582870210092315,3
allW D262V,nonexpressing,68,0.518421052631579,0.06132200104068971,3
D262V,nonexpressing,68,0.6416666666666666,0.05511981898051231,3
WT,nonexpressing,68,0.6246176338281602,0.06383916197405937,3
allW D262V,nonexpressing,69,0.5013157894736843,0.06370831064938631,3
D262V,nonexpressing,69,0.6208333333333333,0.07009418267191966,3
WT,nonexpressing,69,0.6029127305443095,0.05871088510500457,3
allW D262V,nonexpressing,70,0.4929824561403509,0.06632929118564829,3
D262V,nonexpressing,70,0.6166666666666667,0.06705615391429617,3
WT,nonexpressing,70,0.5733130904183535,0.06357791013543158,3
allW D262V,nonexpressing,71,0.4758771929824561,0.06344203870105385,3
D262V,nonexpressing,71,0.6041666666666666,0.06934715407122184,3
WT,nonexpressing,71,0.5733130904183535,0.06357791013543158,3
allW D262V,nonexpressing,72,0.47149122807017546,0.06088913629747115,3
D262V,nonexpressing,72,0.5958333333333333,0.06305310812675649,3
WT,nonexpressing,72,0.5733130904183535,0.06357791013543158,3
allW D262V,nonexpressing,73,0.47149122807017546,0.06088913629747115,3
D262V,nonexpressing,73,0.5833333333333334,0.061378832761067634,3
WT,nonexpressing,73,0.560267656320288,0.06142284751467384,3
allW D262V,nonexpressing,74,0.4629385964912281,0.05660996361875891,3
D262V,nonexpressing,74,0.575,0.06959705453537528,3
