Day,Variant,cat,Index,t,f
20231004,WT,expressing,20231004.WT,93,0.5306122448979591
20231004,WT,expressing,20231004.WT,94,0.5306122448979591
20231004,WT,expressing,20231004.WT,95,0.4897959183673469
20231004,WT,expressing,20231004.WT,96,0.4897959183673469
20231004,WT,expressing,20231004.WT,97,0.4693877551020408
20231004,WT,expressing,20231004.WT,98,0.44897959183673475
20231004,WT,expressing,20231004.WT,99,0.44897959183673475
20231004,WT,expressing,20231004.WT,100,0.44897959183673475
20231004,WT,expressing,20231004.WT,101,0.4285714285714286
20231004,WT,expressing,20231004.WT,102,0.4285714285714286
20231004,WT,expressing,20231004.WT,103,0.4285714285714286
20231004,WT,expressing,20231004.WT,104,0.4285714285714286
20231004,WT,expressing,20231004.WT,105,0.4285714285714286
20231004,WT,expressing,20231004.WT,106,0.4285714285714286
20231004,WT,expressing,20231004.WT,107,0.4285714285714286
20231004,WT,expressing,20231004.WT,108,0.4285714285714286
20231004,WT,expressing,20231004.WT,109,0.4285714285714286
20231004,WT,expressing,20231004.WT,110,0.4285714285714286
20231004,WT,expressing,20231004.WT,111,0.36734693877551017
20231004,WT,expressing,20231004.WT,112,0.34693877551020413
20231004,WT,expressing,20231004.WT,113,0.326530612244898
20231004,WT,expressing,20231004.WT,114,0.30612244897959184
20231004,WT,expressing,20231004.WT,115,0.30612244897959184
20231004,WT,expressing,20231004.WT,116,0.2857142857142857
20231004,WT,expressing,20231004.WT,117,0.2857142857142857
20231004,WT,expressing,20231004.WT,118,0.2857142857142857
20231004,WT,nonexpressing,20231004.WT,0,1
20231004,WT,nonexpressing,20231004.WT,1,1
20231004,WT,nonexpressing,20231004.WT,2,1
20231004,WT,nonexpressing,20231004.WT,3,1
20231004,WT,nonexpressing,20231004.WT,4,1
20231004,WT,nonexpressing,20231004.WT,5,1
20231004,WT,nonexpressing,20231004.WT,6,1
20231004,WT,nonexpressing,20231004.WT,7,1
20231004,WT,nonexpressing,20231004.WT,8,1
20231004,WT,nonexpressing,20231004.WT,9,1
20231004,WT,nonexpressing,20231004.WT,10,1
20231004,WT,nonexpressing,20231004.WT,11,1
20231004,WT,nonexpressing,20231004.WT,12,1
20231004,WT,nonexpressing,20231004.WT,13,1
20231004,WT,nonexpressing,20231004.WT,14,1
20231004,WT,nonexpressing,20231004.WT,15,0.9868421052631579
20231004,WT,nonexpressing,20231004.WT,16,0.9736842105263158
20231004,WT,nonexpressing,20231004.WT,17,0.9736842105263158
20231004,WT,nonexpressing,20231004.WT,18,0.9736842105263158
20231004,WT,nonexpressing,20231004.WT,19,0.9736842105263158
20231004,WT,nonexpressing,20231004.WT,20,0.9736842105263158
20231004,WT,nonexpressing,20231004.WT,21,0.9736842105263158
20231004,WT,nonexpressing,20231004.WT,22,0.9736842105263158
20231004,WT,nonexpressing,20231004.WT,23,0.9605263157894737
20231004,WT,nonexpressing,20231004.WT,24,0.9605263157894737
20231004,WT,nonexpressing,20231004.WT,25,0.9605263157894737
20231004,WT,nonexpressing,20231004.WT,26,0.9473684210526316
20231004,WT,nonexpressing,20231004.WT,27,0.9342105263157895
20231004,WT,nonexpressing,20231004.WT,28,0.9342105263157895
20231004,WT,nonexpressing,20231004.WT,29,0.9342105263157895
20231004,WT,nonexpressing,20231004.WT,30,0.9078947368421053
20231004,WT,nonexpressing,20231004.WT,31,0.9078947368421053
20231004,WT,nonexpressing,20231004.WT,32,0.9078947368421053
20231004,WT,nonexpressing,20231004.WT,33,0.8947368421052632
20231004,WT,nonexpressing,20231004.WT,34,0.8947368421052632
20231004,WT,nonexpressing,20231004.WT,35,0.881578947368421
20231004,WT,nonexpressing,20231004.WT,36,0.881578947368421
20231004,WT,nonexpressing,20231004.WT,37,0.868421052631579
20231004,WT,nonexpressing,20231004.WT,38,0.868421052631579
20231004,WT,nonexpressing,20231004.WT,39,0.868421052631579
20231004,WT,nonexpressing,20231004.WT,40,0.868421052631579
20231004,WT,nonexpressing,20231004.WT,41,0.868421052631579
20231004,WT,nonexpressing,20231004.WT,42,0.8421052631578947
20231004,WT,nonexpressing,20231004.WT,43,0.8421052631578947
20231004,WT,nonexpressing,20231004.WT,44,0.8421052631578947
20231004,WT,nonexpressing,20231004.WT,45,0.8289473684210527
20231004,WT,nonexpressing,20231004.WT,46,0.8289473684210527
20231004,WT,nonexpressing,20231004.WT,47,0.8289473684210527
20231004,WT,nonexpressing,20231004.WT,48,0.8157894736842105
20231004,WT,nonexpressing,20231004.WT,49,0.8157894736842105
20231004,WT,nonexpressing,20231004.WT,50,0.8026315789473684
20231004,WT,nonexpressing,20231004.WT,51,0.7894736842105263
20231004,WT,nonexpressing,20231004.WT,52,0.7894736842105263
20231004,WT,nonexpressing,20231004.WT,53,0.7763157894736842
20231004,WT,nonexpressing,20231004.WT,54,0.75
20231004,WT,nonexpressing,20231004.WT,55,0.736842105263158
20231004,WT,nonexpressing,20231004.WT,56,0.7105263157894737
20231004,WT,nonexpressing,20231004.WT,57,0.6842105263157895
20231004,WT,nonexpressing,20231004.WT,58,0.6842105263157895
20231004,WT,nonexpressing,20231004.WT,59,0.6578947368421053
20231004,WT,nonexpressing,20231004.WT,60,0.6447368421052632
20231004,WT,nonexpressing,20231004.WT,61,0.6447368421052632
20231004,WT,nonexpressing,20231004.WT,62,0.6447368421052632
20231004,WT,nonexpressing,20231004.WT,63,0.6447368421052632
20231004,WT,nonexpressing,20231004.WT,64,0.631578947368421
20231004,WT,nonexpressing,20231004.WT,65,0.618421052631579
20231004,WT,nonexpressing,20231004.WT,66,0.618421052631579
20231004,WT,nonexpressing,20231004.WT,67,0.6052631578947368
20231004,WT,nonexpressing,20231004.WT,68,0.6052631578947368
20231004,WT,nonexpressing,20231004.WT,69,0.5657894736842105
20231004,WT,nonexpressing,20231004.WT,70,0.5526315789473684
20231004,WT,nonexpressing,20231004.WT,71,0.5526315789473684
20231004,WT,nonexpressing,20231004.WT,72,0.5526315789473684
20231004,WT,nonexpressing,20231004.WT,73,0.5263157894736843
20231004,WT,nonexpressing,20231004.WT,74,0.5263157894736843
20231004,WT,nonexpressing,20231004.WT,75,0.5263157894736843
20231004,WT,nonexpressing,20231004.WT,76,0.5
20231004,WT,nonexpressing,20231004.WT,77,0.48684210526315785
20231004,WT,nonexpressing,20231004.WT,78,0.4736842105263158
20231004,WT,nonexpressing,20231004.WT,79,0.42105263157894735
20231004,WT,nonexpressing,20231004.WT,80,0.4078947368421053
20231004,WT,nonexpressing,20231004.WT,81,0.4078947368421053
20231004,WT,nonexpressing,20231004.WT,82,0.4078947368421053
20231004,WT,nonexpressing,20231004.WT,83,0.39473684210526316
20231004,WT,nonexpressing,20231004.WT,84,0.39473684210526316
20231004,WT,nonexpressing,20231004.WT,85,0.39473684210526316
20231004,WT,nonexpressing,20231004.WT,86,0.368421052631579
20231004,WT,nonexpressing,20231004.WT,87,0.368421052631579
20231004,WT,nonexpressing,20231004.WT,88,0.35526315789473684
20231004,WT,nonexpressing,20231004.WT,89,0.35526315789473684
20231004,WT,nonexpressing,20231004.WT,90,0.32894736842105265
20231004,WT,nonexpressing,20231004.WT,91,0.3157894736842105
20231004,WT,nonexpressing,20231004.WT,92,0.3157894736842105
20231004,WT,nonexpressing,20231004.WT,93,0.3157894736842105
20231004,WT,nonexpressing,20231004.WT,94,0.3157894736842105
20231004,WT,nonexpressing,20231004.WT,95,0.3157894736842105
20231004,WT,nonexpressing,20231004.WT,96,0.3026315789473685
20231004,WT,nonexpressing,20231004.WT,97,0.26315789473684215
20231004,WT,nonexpressing,20231004.WT,98,0.26315789473684215
20231004,WT,nonexpressing,20231004.WT,99,0.26315789473684215
20231004,WT,nonexpressing,20231004.WT,100,0.26315789473684215
20231004,WT,nonexpressing,20231004.WT,101,0.25
20231004,WT,nonexpressing,20231004.WT,102,0.22368421052631582
20231004,WT,nonexpressing,20231004.WT,103,0.22368421052631582
20231004,WT,nonexpressing,20231004.WT,104,0.22368421052631582
20231004,WT,nonexpressing,20231004.WT,105,0.22368421052631582
20231004,WT,nonexpressing,20231004.WT,106,0.22368421052631582
20231004,WT,nonexpressing,20231004.WT,107,0.22368421052631582
20231004,WT,nonexpressing,20231004.WT,108,0.22368421052631582
20231004,WT,nonexpressing,20231004.WT,109,0.22368421052631582
20231004,WT,nonexpressing,20231004.WT,110,0.21052631578947367
20231004,WT,nonexpressing,20231004.WT,111,0.19736842105263153
20231004,WT,nonexpressing,20231004.WT,112,0.19736842105263153
20231004,WT,nonexpressing,20231004.WT,113,0.19736842105263153
20231004,WT,nonexpressing,20231004.WT,114,0.1842105263157895
20231004,WT,nonexpressing,20231004.WT,115,0.1842105263157895
20231004,WT,nonexpressing,20231004.WT,116,0.1842105263157895
