time	200	150	100	60	50	40	25	10	5
118	3011	2066	1255	473	844	620	535	233	160
119	3067	2117	1276	480	889	628	571	243	153
120	3089	2143	1243	473	886	629	570	257	177
121	3062	2140	1316	467	931	665	571	253	166
122	3070	2097	1333	521	981	700	587	290	180
123	3077	2142	1343	509	966	659	573	275	183
124	3117	2152	1355	536	1020	736	612	269	168
125	3113	2137	1364	526	1050	729	595	282	172
126	3050	2218	1354	568	1068	745	600	297	186
127	3121	2162	1368	549	1085	755	616	282	185
128	3235	2148	1426	540	1100	800	656	303	180
129	3212	2197	1396	566	1126	799	636	280	173
130	3195	2217	1403	588	1153	815	670	298	180
131	3230	2218	1460	584	1207	819	671	317	177
132	3176	2222	1432	589	1222	840	684	304	183
133	3278	2300	1463	599	1266	868	697	314	197
134	3240	2255	1429	593	1238	839	696	315	191
135	3257	2301	1445	625	1273	892	704	320	199
136	3297	2327	1509	631	1272	899	703	342	192
137	3346	2304	1513	631	1304	895	712	325	203
138	3231	2335	1528	669	1343	897	705	343	203
139	3389	2330	1581	683	1365	923	718	367	193
140	3364	2360	1557	672	1366	962	738	355	198
141	3389	2356	1615	657	1428	979	726	350	198
142	3396	2349	1601	711	1382	964	714	342	194
143	3380	2388	1621	693	1435	1004	743	338	201
144	3445	2409	1634	704	1457	983	742	340	210
145	3471	2341	1671	733	1526	1022	794	367	219
146	3442	2386	1654	739	1494	1019	741	363	211
147	3462	2336	1631	799	1518	1051	784	366	206
148	3441	2395	1694	833	1527	1064	778	357	214
149	3504	2374	1744	840	1574	1078	782	363	199
150	3497	2489	1740	826	1547	1076	787	359	224
151	3555	2498	1752	894	1623	1132	780	357	200
152	3574	2506	1726	848	1631	1102	796	371	208
153	3544	2445	1716	907	1636	1138	805	375	221
154	3545	2491	1776	910	1655	1143	820	395	231
155	3602	2450	1798	934	1648	1140	793	385	226
156	3596	2506	1857	923	1697	1150	840	369	223
157	3603	2512	1806	972	1710	1166	792	369	227
158	3652	2493	1826	999	1742	1165	849	366	208
159	3677	2551	1882	997	1741	1169	828	401	235
160	3668	2595	1916	993	1732	1188	835	392	232
161	3687	2597	1917	1040	1753	1190	883	380	238
162	3683	2621	1917	1117	1774	1196	856	418	232
163	3729	2577	1935	1067	1833	1198	854	388	226
164	3733	2568	1968	1100	1829	1200	853	398	235
165	3707	2655	1940	1122	1827	1255	894	428	234
166	3766	2583	1971	1131	1879	1246	872	407	226
167	3810	2640	2019	1146	1821	1216	851	418	241
168	3759	2672	2018	1185	1885	1285	881	426	224
169	3749	2669	2039	1178	1855	1245	870	401	245
170	3851	2654	2084	1273	1900	1277	867	400	238
171	3830	2677	2111	1247	1915	1243	907	396	239
172	3855	2687	2129	1253	1955	1290	900	411	252
173	3829	2631	2096	1300	1915	1270	907	426	247
174	3862	2786	2123	1317	1946	1321	909	427	239
175	3853	2685	2193	1334	1962	1304	919	417	255
176	3897	2727	2159	1306	1976	1327	913	408	259
177	3915	2708	2187	1342	1951	1288	921	450	238
178	3892	2704	2210	1383	1978	1311	926	442	258
179	3980	2729	2182	1371	2048	1336	918	427	261
180	3982	2732	2256	1518	2032	1354	949	411	252
181	4023	2812	2240	1392	2054	1381	937	432	254
182	3992	2797	2280	1407	2046	1327	924	448	251
183	4010	2781	2277	1521	2059	1336	933	438	255
184	3979	2841	2324	1558	2024	1334	976	440	260
185	4003	2802	2325	1566	2018	1375	951	440	260
186	4010	2829	2406	1583	2033	1357	942	422	264
187	4027	2870	2342	1571	2079	1404	946	420	253
188	4064	2847	2375	1582	2082	1365	965	431	263
