time	200	150	100	60	50	40	25	10	5
288	4078	2692	1776	1173	1077	708	665	362	192
289	3961	2628	1710	1168	1106	762	680	381	186
290	3935	2669	1734	1196	1090	700	688	346	179
291	4049	2660	1743	1158	1088	727	658	341	193
292	4045	2702	1747	1212	1114	748	630	346	174
293	4033	2727	1717	1169	1073	715	661	352	176
294	3961	2701	1725	1146	1058	735	668	357	178
295	4032	2667	1761	1176	1076	708	640	361	186
296	4017	2687	1756	1186	1034	692	648	352	183
297	4028	2675	1692	1156	1069	741	647	367	177
298	3988	2693	1738	1161	1075	689	653	355	192
299	3994	2652	1683	1168	1110	712	669	365	178
300	4098	2666	1719	1173	1044	727	644	384	186
301	4032	2700	1726	1197	1081	702	666	364	186
302	4040	2639	1745	1166	1072	681	662	383	178
303	3969	2704	1693	1162	1051	706	646	361	176
304	4103	2682	1725	1159	1103	720	670	350	193
305	4016	2649	1737	1201	1046	695	635	356	178
306	4059	2708	1714	1201	1064	705	667	366	179
307	3991	2717	1688	1169	1083	700	664	382	184
308	4005	2670	1716	1133	1065	718	660	348	187
309	4040	2670	1697	1187	1079	729	660	352	196
310	3944	2679	1759	1181	1099	728	678	355	188
311	3949	2687	1732	1163	1060	714	648	346	185
312	4060	2658	1718	1188	1080	723	650	326	176
313	4108	2770	1723	1163	1089	739	669	361	199
314	3967	2636	1773	1155	1064	710	655	357	178
315	4145	2634	1751	1156	1051	735	643	359	202
316	4044	2682	1720	1177	1064	734	634	359	186
317	3948	2697	1733	1198	1066	701	647	378	191
318	4094	2737	1745	1185	1100	729	643	365	191
319	4116	2641	1744	1171	1064	719	647	370	178
320	4063	2613	1733	1185	1055	729	639	364	184
321	4057	2704	1725	1144	1050	739	659	365	186
322	3976	2699	1724	1172	1091	742	666	352	183
323	4093	2678	1727	1188	1068	732	664	365	200
324	4187	2646	1754	1190	1079	725	644	353	181
325	4115	2679	1748	1170	1069	734	626	385	175
326	4120	2680	1742	1197	1085	713	641	365	189
327	3940	2754	1764	1160	1096	701	644	384	192
328	4003	2703	1741	1182	1060	743	645	357	193
329	3984	2668	1751	1190	1064	733	643	357	178
330	3990	2700	1737	1172	1078	714	647	358	177
331	3955	2770	1717	1180	1037	742	641	356	191
332	3977	2675	1784	1187	1065	724	647	376	188
333	4040	2673	1718	1174	1030	712	628	342	205
334	4012	2694	1714	1182	1037	731	649	363	190
335	4001	2698	1749	1215	1058	727	641	356	190
336	4091	2694	1743	1195	1051	711	642	356	190
337	3971	2682	1752	1133	1054	704	644	363	193
338	4038	2732	1760	1179	1054	730	625	363	190
339	4106	2696	1741	1224	1068	734	646	370	205
340	4060	2712	1681	1202	1061	719	654	348	196
341	4088	2700	1764	1203	1059	711	649	361	183
342	3974	2681	1726	1184	1052	706	633	371	199
343	3952	2691	1766	1190	1051	745	641	366	178
344	4014	2673	1715	1197	1089	710	608	365	203
345	4062	2733	1713	1186	1064	722	622	371	185
346	3991	2680	1752	1177	1068	733	633	361	193
347	3902	2695	1738	1133	1037	742	632	363	192
348	3959	2767	1751	1195	1045	724	619	348	201
349	4054	2737	1793	1155	1018	728	628	346	186
350	4051	2678	1746	1196	1112	711	638	360	190
351	4081	2717	1744	1201	1052	744	648	380	198
352	4052	2667	1785	1164	1075	721	635	361	193
353	4126	2707	1733	1201	1070	726	637	353	191
354	3995	2686	1714	1176	1036	727	615	372	181
355	4046	2726	1727	1203	1055	696	635	379	195
356	4000	2701	1740	1189	1031	729	608	361	185
357	4141	2727	1703	1235	1052	724	635	372	203
358	3998	2682	1713	1206	1059	711	613	349	188
359	3941	2693	1761	1188	1052	731	650	359	189
360	3987	2703	1717	1190	1052	718	623	360	190
361	4083	2712	1721	1166	1039	758	631	358	193
362	4022	2680	1704	1163	1036	720	642	385	191
363	4072	2733	1764	1202	1075	726	640	368	205
364	4061	2695	1732	1204	1034	741	642	373	200
365	3962	2712	1755	1187	1050	710	648	388	204
366	3937	2775	1754	1210	1085	727	649	359	189
367	3906	2649	1721	1155	1076	728	616	352	195
368	4107	2789	1755	1219	1071	710	634	371	199
369	3957	2671	1760	1173	1018	748	637	361	198
370	4015	2721	1776	1175	1070	736	633	369	185
371	3973	2696	1788	1168	1026	744	642	362	186
372	4081	2703	1770	1221	1104	755	629	364	200
373	4096	2741	1748	1164	1035	743	617	346	199
374	3993	2702	1739	1199	1081	734	647	373	198
375	3965	2685	1734	1177	1065	721	623	354	199
376	4072	2674	1719	1146	1052	747	628	356	196
377	4020	2685	1749	1175	1056	743	615	355	200
378	4023	2685	1711	1210	1068	731	615	357	200
379	4039	2700	1734	1216	1090	735	633	348	194
380	3966	2719	1743	1151	1057	732	629	374	187
381	4023	2708	1691	1201	1028	722	616	360	202
382	4051	2707	1732	1160	1055	743	610	373	196
